id,symbol,name,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h_in_currency
bitcoin,btc,Bitcoin,74133.0,1484125791547,45010643964.0,20016215.0,-1.4722798199253015
ethereum,eth,Ethereum,2336.82,282042372008,18485892967.0,120690956.9570293,-1.2686195089740897
tether,usdt,Tether,1.0,185506998032,71046737677.0,185477350936.1545,-0.0409104250914822
ripple,xrp,XRP,1.38,84471907476,2276055350.0,61405531717.0,-0.2546522549580599
binancecoin,bnb,BNB,618.38,83317109030,1284732647.0,134786901.8,-0.218514867935249
usd-coin,usdc,USDC,0.999827,78515014048,18321244001.0,78526579489.06093,0.0010504195982302
solana,sol,Solana,84.25,48459262892,4081602523.0,575141012.3463002,-2.5271032897914574
tron,trx,TRON,0.326575,30958113426,649752684.0,94774359192.72208,1.5722667212281778
figure-heloc,figr_heloc,Figure Heloc,1.027,17237025062,74284884.0,16776297600.677,0.0680097397193379
dogecoin,doge,Dogecoin,0.093964,14461118121,1359623980.0,153841056383.7052,-2.363752736359509
whitebit,wbt,WhiteBIT Coin,54.38,11603325109,58621401.0,213418274.0,-1.6498843431054118
usds,usds,USDS,0.999838,11376352033,34207649.0,11378204572.56451,-0.0028553939687638
hyperliquid,hype,Hyperliquid,44.61,10623799372,320898187.0,238385315.9541414,1.4742703864256357
leo-token,leo,LEO Token,10.14,9342121449,473741.0,920837314.9,0.1577187817011334
cardano,ada,Cardano,0.242288,8952416151,369314548.0,36954807980.68808,-1.5372732524429489
bitcoin-cash,bch,Bitcoin Cash,437.01,8747792432,210504952.0,20021449.89665078,-0.9081463190678032
chainlink,link,Chainlink,9.19,6679501012,276167990.0,727099970.4523476,0.0371362172128165
monero,xmr,Monero,344.62,6353051562,121015645.0,18446744.07370955,-2.846657048353374
zcash,zec,Zcash,356.4,5936983785,356819089.0,16656784.5405448,-1.625949412142388
canton-network,cc,Canton,0.153093,5863080744,57017773.0,38315076042.99518,-1.159700677121393
ethena-usde,usde,Ethena USDe,1.0,5829127265,95065288.0,5828215357.986168,-0.0156116987614695
stellar,xlm,Stellar,0.156193,5173664986,88257777.0,33114809152.14737,-0.5586858252715949
memecore,m,MemeCore,2.89,5076623333,10756366.0,1757830227.902167,2.532404119669793
dai,dai,Dai,0.999464,4365732273,90139651.0,4368054056.784072,0.0032019688616503
litecoin,ltc,Litecoin,55.04,4242079009,374817511.0,77061995.73347135,0.1799159585849702
usd1-wlfi,usd1,USD1,0.999557,4085382547,965724386.0,4090558720.352435,-0.0271949553727136
avalanche-2,avax,Avalanche,9.43,4073521298,316513903.0,431771961.1772119,0.0620856665188286
paypal-usd,pyusd,PayPal USD,1.0,4071735213,57184835.0,4070657909.211766,0.0226971712568587
rain,rain,Rain,0.00798152,3818163670,13413657.0,478359189174.09753,0.5353708991824716
sui,sui,Sui,0.95096,3758295975,276885644.0,3953388932.071221,-0.0428696475693809
hedera-hashgraph,hbar,Hedera,0.086106,3724579808,67122072.0,43321902768.32876,-1.048728288840353
shiba-inu,shib,Shiba Inu,5.91e-06,3484399314,112295342.0,589243503461048.9,-1.3802828212617069
the-open-network,ton,Toncoin,1.37,3394969308,114085808.0,2483311301.266108,-4.620887829024179
ravedao,rave,RaveDAO,13.27,3265229060,340270698.0,248044444.0,-17.325338770385677
crypto-com-chain,cro,Cronos,0.068815,2912816936,13014345.0,42354312834.90525,-2.379342457509422
hashnote-usyc,usyc,Circle USYC,1.12,2832380424,112099.0,2526682445.757202,-0.218514867935249
tether-gold,xaut,Tether Gold,4794.25,2684663226,407467382.0,559898.736688,0.3679649271101476
world-liberty-financial,wlfi,World Liberty Financial,0.080028,2541663481,114349843.0,31762866592.0,-2.493538962395062
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2494307169,0.0,2494307169.280448,0.0
pax-gold,paxg,PAX Gold,4808.19,2374056107,296532251.0,493648.962,0.4498198753875371
bittensor,tao,Bittensor,245.72,2358875618,297893911.0,9597491.0,-2.472329017511388
global-dollar,usdg,Global Dollar,0.999903,2194250963,26286647.0,2194590280.869784,-0.0089379012496597
mantle,mnt,Mantle,0.660624,2165634712,30984610.0,3277944055.53684,-2.198127048270925
uniswap,uni,Uniswap,3.21,2031512529,163436928.0,633561603.6037512,0.4627182462776658
polkadot,dot,Polkadot,1.17,1965817815,217714675.0,1679315508.403046,-0.017261993227978
near,near,NEAR Protocol,1.39,1793376699,205198788.0,1292945391.0,0.1328457720454261
okb,okb,OKB,85.32,1791177712,14483808.0,21000000.0,-1.0077514887888237
falcon-finance,usdf,Falcon USD,0.998432,1787492711,722670.0,1789931800.531696,0.0304245434346777
sky,sky,Sky,0.074972,1738489314,8610097.0,23189117589.6065,-0.7873533083389074
pi-network,pi,Pi Network,0.166476,1688119303,13868672.0,10142200266.49829,0.2927924216129816
aster-2,aster,Aster,0.660437,1623594005,125412399.0,2458559719.12999,-2.626731999581329
htx-dao,htx,HTX DAO,1.79e-06,1619535640,11825348.0,905707664073577.8,0.720323461325561
aave,aave,Aave,105.45,1598757868,316229329.0,15164987.720859986,4.573775326710756
usdd,usdd,USDD,1.0,1543512683,11049258.0,1543335560.0,0.0065010543483891
pepe,pepe,Pepe,3.67e-06,1540079378,313412483.0,420690000000000.0,-1.773150778421114
ripple-usd,rlusd,Ripple USD,0.999987,1476850096,106785093.0,1476761837.407242,-0.0061523045845213
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.1,1422454884,0.0,1292789400.280565,0.0080893647576377
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.12,1359419970,865741.0,1213610189.567781,-0.3560399237488046
internet-computer,icp,Internet Computer,2.45,1353218348,39947742.0,551832124.5813165,-1.2728923431676804
bitget-token,bgb,Bitget Token,1.89,1326787303,19311209.0,699992035.9787906,-1.0208061857160908
bfusd,bfusd,BFUSD,0.999749,1319669177,2149178.0,1320000000.0,-0.003614611519638
ethereum-classic,etc,Ethereum Classic,8.42,1315507245,37823411.0,156313990.5888689,-1.141320342155957
ondo-finance,ondo,Ondo,0.254772,1239946178,55227665.0,4869330647.0,-1.3513202411902543
kucoin-shares,kcs,KuCoin,8.47,1140436895,17339471.0,134655021.7355671,-1.0958600132766412
gatechain-token,gt,Gate,6.98,1133103428,3925531.0,115180573.04885802,1.8782644826631432
pump-fun,pump,Pump.fun,0.00188636,1111118874,59294159.0,590000000000.0,-2.3038166912332136
quant-network,qnt,Quant,74.03,1076112906,10105671.0,14544176.164081177,-2.0597224233808555
algorand,algo,Algorand,0.110994,987979324,46380128.0,8903474673.9374,0.0586448254797906
render-token,render,Render,1.89,979153964,93576398.0,518743261.0140742,-0.5937749069769469
morpho,morpho,Morpho,1.79,977388604,10907489.0,547562964.6775967,-0.4671871186511307
